Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
,Lowtemp-2-lesslow,10.1039/c7ta05743a,volume,330.0,Li+,1.0,,,,,,,,,,,,,,,C4BO8-,1.0,,,,,,,,,,,,,,,C4H6O2,5.0,C5H4F8O,1.0,,,,,,,,,,,,,
,Aqueous-1,,mass,300.0,Li+,0.1,,,,,,,,,,,,,,,Cl-,0.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-1-concentrated,10.1021/jp402532e,mass,300.0,Li+,3.0,,,,,,,,,,,,,,,Cl-,3.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-1-hightemp,10.1021/jp402532e,mass,350.0,Li+,3.0,,,,,,,,,,,,,,,Cl-,3.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2,,mass,300.0,Li+,0.2,,,,,,,,,,,,,,,O4S-2,0.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2-concentrated,10.1021/jp402532e,mass,300.0,Li+,3.0,,,,,,,,,,,,,,,O4S-2,1.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2-hightemp,10.1021/jp402532e,mass,350.0,Li+,3.0,,,,,,,,,,,,,,,O4S-2,1.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Li-IL-1,10.1039/C4CP01133C,number,300.0,Li+,7.5,C6H11N2+,2.5,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Li-IL-hightemp,10.1039/C4CP01133C,number,450.0,Li+,7.5,C6H11N2+,2.5,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Li-IL-2,10.1039/C4CP01133C,number,300.0,Li+,7.5,C8H18N+,2.5,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Li-Li-2-hightemp,10.1039/C4CP01133C,number,450.0,Li+,7.5,C8H18N+,2.5,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten salt,10.11890/1006-7191-102-129,number,900.0,Li+,45.0,K+,45.0,,,,,,,,,,,,,Cl-,85.0,F-,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten salt 2,10.2355/isijinternational.37.55,number,650.0,Li+,55.0,K+,39.0,Mg+2,5.0,Cs+,1.0,,,,,,,,,Cl-,95.0,I-,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flame-retardant,10.1016/j.joule.2018.05.002,volume,300.0,Li+,3.2,,,,,,,,,,,,,,,F2NO4S2-,3.2,,,,,,,,,,,,,,,C6H15O4P,1.0,,,,,,,,,,,,,,,
,Fame-retardant-hightemp,10.1016/j.joule.2018.05.002,volume,450.0,Li+,3.2,,,,,,,,,,,,,,,F2NO4S2-,3.2,,,,,,,,,,,,,,,C6H15O4P,1.0,,,,,,,,,,,,,,,
,Sulfolane,10.1039/D2CP05319E,number,300.0,Li+,1.0,,,,,,,,,,,,,,,F2NO4S2-,1.0,,,,,,,,,,,,,,,C4H8O2S,2.5,C5H4F8O,1.0,,,,,,,,,,,,,
,Sulfolane,10.1039/D2CP05319E,number,500.0,Li+,1.0,,,,,,,,,,,,,,,F2NO4S2-,1.0,,,,,,,,,,,,,,,C4H8O2S,2.5,C5H4F8O,1.0,,,,,,,,,,,,,
Na,Baseline,10.1002/adfm.201100854,volume,300.0,Na+,1.0,,,,,,,,,,,,,,,ClO4-,1.0,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,1.0,,,,,,,,,,,,,
,Baseline-hightemp,10.1002/adfm.201100854,volume,370.0,Na+,1.0,,,,,,,,,,,,,,,ClO4-,1.0,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,1.0,,,,,,,,,,,,,
,Baseline2,10.1016/j.jpowsour.2011.09.008,volume,300.0,Na+,1.0,,,,,,,,,,,,,,,F6P-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,Baseline2-hightemp,10.1016/j.jpowsour.2011.09.008,volume,450.0,Na+,1.0,,,,,,,,,,,,,,,F6P-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,Baseline3,10.1039/C3CP53077A,volume,270.0,Na+,0.8,,,,,,,,,,,,,,,CF3O3S-,0.8,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,Baseline3-hightemp,10.1039/C3CP53077A,volume,370.0,Na+,0.8,,,,,,,,,,,,,,,CF3O3S-,0.8,,,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,IL,10.1016/j.jpowsour.2013.03.089,number,300.0,Na+,2.0,C9H20N+piper,8.0,,,,,,,,,,,,,F2NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL-hightemp,10.1016/j.jpowsour.2013.03.089,number,370.0,Na+,2.0,C9H20N+piper,8.0,,,,,,,,,,,,,F2NO4S2-,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL2,10.1039/C4CP00365A,number,300.0,Na+,1.0,C9H20N+piper,3.0,,,,,,,,,,,,,F2NO4S2-,3.0,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL2-hightemp,10.1039/C4CP00365A,number,370.0,Na+,1.0,C9H20N+piper,3.0,,,,,,,,,,,,,F2NO4S2-,3.0,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten-salt-1,10.1016/j.electacta.2012.01.097,Number,325.0,Na+,40.0,K+,25.0,Cs+,35.0,,,,,,,,,,,F2NO4S2-,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten-salt-1-hightemp,10.1016/j.electacta.2012.01.097,Number,450.0,Na+,40.0,K+,25.0,Cs+,35.0,,,,,,,,,,,F2NO4S2-,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten-salt-2,10.1016/j.elecom.2008.10.001,Number,325.0,Na+,45.0,K+,55.0,,,,,,,,,,,,,F2NO4S2-,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molten-salt-2-hightemp,10.1016/j.elecom.2008.10.001,Number,450.0,Na+,45.0,K+,55.0,,,,,,,,,,,,,F2NO4S2-,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ether,10.1016/j.electacta.2017.02.007,mass,300.0,Na+,1.0,,,,,,,,,,,,,,,CF3O3S-,1.0,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Ether-hightemp,10.1016/j.electacta.2017.02.007,mass,350.0,Na+,1.0,,,,,,,,,,,,,,,CF3O3S-,1.0,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Additive,10.1039/D0TA11689K,volume,300.0,Na+,1.1,,,,,,,,,,,,,,,F6P-,1.0,F2O2P-,0.1,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,Additive-hightemp,10.1039/D0TA11689K,volume,370.0,Na+,1.1,,,,,,,,,,,,,,,F6P-,1.0,F2O2P-,0.1,,,,,,,,,,,,,C3H4O3,1.0,C3H6O3,2.0,,,,,,,,,,,,,
,Aqueous-1,10.1021/ie070564c,mass,300.0,Na+,1.0,,,,,,,,,,,,,,,OH-,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-1-hightemp,10.1021/ie070564c,mass,350.0,Na+,1.0,,,,,,,,,,,,,,,OH-,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-1-concentrated,10.1021/ie070564c,mass,300.0,Na+,10.0,,,,,,,,,,,,,,,OH-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2,10.1021/ie070564c,mass,300.0,Na+,1.0,,,,,,,,,,,,,,,CO3-2,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2-hightemp,10.1021/ie070564c,mass,350.0,Na+,1.0,,,,,,,,,,,,,,,CO3-2,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-2-concentrated,10.1021/ie070564c,mass,300.0,Na+,4.0,,,,,,,,,,,,,,,CO3-2,2.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-3,10.1021/ie070564c,mass,300.0,Na+,1.0,,,,,,,,,,,,,,,O4S-2,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-3-hightemp,10.1021/ie070564c,mass,350.0,Na+,1.0,,,,,,,,,,,,,,,O4S-2,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-3-concentrated,10.1021/ie070564c,mass,300.0,Na+,3.0,,,,,,,,,,,,,,,O4S-2,1.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-4,10.1021/ie070564c,mass,300.0,Na+,0.5,,,,,,,,,,,,,,,Cl-,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-4-hightemp,10.1021/ie070564c,mass,350.0,Na+,0.5,,,,,,,,,,,,,,,Cl-,0.5,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-4-concentrated,10.1021/ie070564c,mass,300.0,Na+,3.0,,,,,,,,,,,,,,,Cl-,3.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-5,10.1021/ie070564c,mass,300.0,Na+,1.5,,,,,,,,,,,,,,,OH-,1.0,CO3-2,0.25,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-5-hightemp,10.1021/ie070564c,mass,350.0,Na+,1.5,,,,,,,,,,,,,,,OH-,1.0,CO3-2,0.25,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-6,10.1021/ie070564c,mass,300.0,Na+,1.5,,,,,,,,,,,,,,,CO3-2,0.375,O4S-2,0.375,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-6-hightemp,10.1021/ie070564c,mass,350.0,Na+,1.5,,,,,,,,,,,,,,,CO3-2,0.375,O4S-2,0.375,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE,10.1002/aenm.201701189,mass,300.0,Na+,2.0,,,,,,,,,,,,,,,CF3O3S-,2.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE-hightemp,10.1002/aenm.201701189,mass,370.0,Na+,2.0,,,,,,,,,,,,,,,CF3O3S-,2.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE-concentrated,10.1002/aenm.201701189,mass,300.0,Na+,9.0,,,,,,,,,,,,,,,CF3O3S-,9.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE2,10.1021/acsenergylett.7b00623,mass,300.0,Na+,10.0,,,,,,,,,,,,,,,F2NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE2-hightemp,10.1021/acsenergylett.7b00623,mass,370.0,Na+,10.0,,,,,,,,,,,,,,,F2NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,NaWISE2-concentrated,10.1021/acsenergylett.7b00623,mass,300.0,Na+,30.0,,,,,,,,,,,,,,,F2NO4S2-,30.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
Mg,Mixed1,10.1016/j.xcrp.2020.100265,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Mixed1-hightemp,10.1016/j.xcrp.2020.100265,volume,350.0,Mg+2,0.5,,,,,,,,,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Mixed1-diffconc,10.1016/j.xcrp.2020.100265,volume,300.0,Mg+2,1.0,,,,,,,,,,,,,,,Cl-,0.8,CF3O3S-,1.2,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Mixed3,10.1039/C5CP00859J,volume,300.0,Mg+2,0.4,Al+3,0.4,,,,,,,,,,,,,Cl-,2.0,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Mixed3-hightemp,10.1039/C5CP00859J,volume,370.0,Mg+2,0.4,Al+3,0.4,,,,,,,,,,,,,Cl-,2.0,,,,,,,,,,,,,,,C4H10O2,1.0,,,,,,,,,,,,,,,
,Mixed4,10.1021/acsenergylett.9b02211,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,,,,,,,,,C6H14O3,1.0,,,,,,,,,,,,,,,
,Mixed4-hightemp,10.1021/acsenergylett.9b02211,volume,400.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,,,,,,,,,C6H14O3,1.0,,,,,,,,,,,,,,,
,PF6,10.1021/jacs.6b04319,volume,300.0,Mg+2,0.7,,,,,,,,,,,,,,,F6P-,1.4,,,,,,,,,,,,,,,C2H3N,1.0,C4H8O,1.0,,,,,,,,,,,,,
,F6P-hightemp,10.1021/jacs.6b04319,volume,350.0,Mg+2,0.7,,,,,,,,,,,,,,,F6P-,1.4,,,,,,,,,,,,,,,C2H3N,1.0,C4H8O,1.0,,,,,,,,,,,,,
,F6P-2,10.1021/jacs.6b04319,volume,300.0,Mg+2,0.1,,,,,,,,,,,,,,,F6P-,0.2,,,,,,,,,,,,,,,C2H3N,1.0,,,,,,,,,,,,,,,
,F6P-2-hightemp,10.1021/jacs.6b04319,volume,350.0,Mg+2,0.1,,,,,,,,,,,,,,,F6P-,0.2,,,,,,,,,,,,,,,C2H3N,1.0,,,,,,,,,,,,,,,
,Mixed5,10.1149/2.0161513jes,volume,300.0,Mg+2,0.75,,,,,,,,,,,,,,,C2F6NO4S2-,0.5,Cl-,1.0,,,,,,,,,,,,,C2H6O,1.0,,,,,,,,,,,,,,,
,Mixed5-hightemp,10.1149/2.0161513jes,volume,350.0,Mg+2,0.75,,,,,,,,,,,,,,,C2F6NO4S2-,0.5,Cl-,1.0,,,,,,,,,,,,,C2H6O,1.0,,,,,,,,,,,,,,,
,IL,10.1149/1.2052048,number,300.0,Mg+2,1.0,C9H20N+piper,3.5,,,,,,,,,,,,,CF3O3S-,2.0,C2F6NO4S2-,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL-hightemp,10.1149/1.2052048,number,400.0,Mg+2,1.0,C9H20N+piper,3.5,,,,,,,,,,,,,CF3O3S-,2.0,C2F6NO4S2-,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moltensalt,10.1016/S0013-4686(96)00322-2,number,920.0,Mg+2,100.0,,,,,,,,,,,,,,,F-,44.0,Cl-,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moltensalt-hightemp,10.1016/S0013-4686(96)00322-2,number,1050.0,Mg+2,100.0,,,,,,,,,,,,,,,F-,44.0,Cl-,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PC,10.1038/s41557-018-0019-6,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,PC-hightemp,10.1038/s41557-018-0019-6,volume,450.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,Amine,10.1126/science.abg3954,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C6H14O3,3.0,C4H11NO,1.0,,,,,,,,,,,,,
,Amine-hightemp,10.1126/science.abg3954,volume,400.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C6H14O3,3.0,C4H11NO,1.0,,,,,,,,,,,,,
,Aqueous1,10.1021/acscentsci.7b00361,mass,300.0,Mg+2,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous1-hightemp,10.1021/acscentsci.7b00361,mass,350.0,Mg+2,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous2,10.1021/acsenergylett.7b00040,volume,300.0,Mg+2,1.0,,,,,,,,,,,,,,,O4S-2,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous2-hightemp,10.1021/acsenergylett.7b00040,volume,350.0,Mg+2,1.0,,,,,,,,,,,,,,,O4S-2,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-mixed,10.1021/acsenergylett.8b01105,volume,300.0,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,,,,,,,,,O4S-2,1.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-mixed-hightemp,10.1021/acsenergylett.8b01105,volume,350.0,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,,,,,,,,,O4S-2,1.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Water-ethanol-1,10.1021/je60052a029,volume,300.0,Mg+2,0.75,,,,,,,,,,,,,,,O4S-2,0.75,,,,,,,,,,,,,,,H2O,10.0,C2H6O,1.0,,,,,,,,,,,,,
,Water-ethanol-1-hightemp,10.1021/je60052a029,volume,350.0,Mg+2,0.75,,,,,,,,,,,,,,,O4S-2,0.75,,,,,,,,,,,,,,,H2O,10.0,C2H6O,1.0,,,,,,,,,,,,,
,Water-ethanol-2,10.1021/je60052a029,volume,300.0,Mg+2,0.75,,,,,,,,,,,,,,,Cl-,1.5,,,,,,,,,,,,,,,H2O,10.0,C2H6O,1.0,,,,,,,,,,,,,
,Water-ethanol-2-hightemp,10.1021/je60052a029,volume,350.0,Mg+2,0.75,,,,,,,,,,,,,,,Cl-,1.5,,,,,,,,,,,,,,,H2O,10.0,C2H6O,1.0,,,,,,,,,,,,,
Ca,ECPC1,10.1038/nmat4462,volume,330.0,Ca+2,0.3,,,,,,,,,,,,,,,ClO4-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC1-hightemp,10.1038/nmat4462,volume,500.0,Ca+2,0.3,,,,,,,,,,,,,,,ClO4-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC2,10.1038/nmat4462,volume,330.0,Ca+2,0.3,,,,,,,,,,,,,,,BF4-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC2-hightemp,10.1038/nmat4462,volume,500.0,Ca+2,0.3,,,,,,,,,,,,,,,BF4-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC2-concentrated,10.1038/nmat4462,volume,330.0,Ca+2,0.8,,,,,,,,,,,,,,,BF4-,1.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC3,10.1038/nmat4462,volume,330.0,Ca+2,0.3,,,,,,,,,,,,,,,C2F6NO4S2-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
,ECPC3-hightemp,10.1038/nmat4462,volume,500.0,Ca+2,0.3,,,,,,,,,,,,,,,C2F6NO4S2-,0.6,,,,,,,,,,,,,,,C3H4O3,1.0,C4H6O3,1.0,,,,,,,,,,,,,
